code_mission_et_indicateur;Type de secteur;Budget;Code Mission;Mission;Code Programme;Programme;Code Objectif;Libellé Objectif;Ref programme pour objectif mission ou mention 'Objectif mission' pour objectif programme;Code Indicateur;Libellé Indicateur;Ref programme pour indicateur mission ou mention 'Indicateur mission' pour indicateur programme;Facteur de performance;Code Sous Indicateur;Libellé Sous Indicateur;Unité;Cotation Budget Vert / Egalité HF;2022 Réalisation;2023 Réalisation;2024 Cible (PAP 2024);2025 Cible;2026 Cible;2027 Cible
AA-MAA-1-1;Mission;BG;AA;Action extérieure de l'État;;;MAA-1;Promouvoir le multilatéralisme et agir pour une Europe souveraine, unie, démocratique;(Objectif du P105);MAA-1-1;Optimiser l'effort français en faveur du maintien de la paix;(Indicateur du P105);Citoyen;21046.0;Évolution des mandats des opérations de maintien de la paix (OMP);%;;67;50;8;0;0;0
AA-MAA-1-1;Mission;BG;AA;Action extérieure de l'État;;;MAA-1;Promouvoir le multilatéralisme et agir pour une Europe souveraine, unie, démocratique;(Objectif du P105);MAA-1-1;Optimiser l'effort français en faveur du maintien de la paix;(Indicateur du P105);Citoyen;25927.0;Effectifs totaux des fonctionnaires internationaux français et comparaison avec autres effectifs;%;;5,1;5;5,2;5,2;5,2;5,2
AA-MAA-2-1;Mission;BG;AA;Action extérieure de l'État;;;MAA-2;Renforcer la qualité et l'efficience du service consulaire;(Objectif du P151);MAA-2-1;Délais de traitement des documents administratifs et des demandes de titres,  de la prise de rendez-vous jusqu’à la délivrance au demandeur;(Indicateur du P151);Usager;13389.0;3. État Civil - exploitation des actes (SCEC) Demandes dématérialisées;jours;;9;11,5;7;5;4;4
AA-MAA-2-1;Mission;BG;AA;Action extérieure de l'État;;;MAA-2;Renforcer la qualité et l'efficience du service consulaire;(Objectif du P151);MAA-2-1;Délais de traitement des documents administratifs et des demandes de titres,  de la prise de rendez-vous jusqu’à la délivrance au demandeur;(Indicateur du P151);Usager;3211.0;1. Passeports (réseau);jours;;20;20;18;18;18;18
AA-MAA-2-1;Mission;BG;AA;Action extérieure de l'État;;;MAA-2;Renforcer la qualité et l'efficience du service consulaire;(Objectif du P151);MAA-2-1;Délais de traitement des documents administratifs et des demandes de titres,  de la prise de rendez-vous jusqu’à la délivrance au demandeur;(Indicateur du P151);Usager;3212.0;2. Cartes nationales d'identité (réseau);jours;;17;16;18;18;18;18
AA-MAA-2-1;Mission;BG;AA;Action extérieure de l'État;;;MAA-2;Renforcer la qualité et l'efficience du service consulaire;(Objectif du P151);MAA-2-1;Délais de traitement des documents administratifs et des demandes de titres,  de la prise de rendez-vous jusqu’à la délivrance au demandeur;(Indicateur du P151);Usager;13390.0;4. Visas court séjour;jours;;13;8;9;9;9;9
AA-P105-1-1;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-1;Renforcer la sécurité internationale et la sécurité des Français;;P105-1-1;Accroître la sécurité de la France au travers de celle de nos partenaires;;Citoyen;30453.0;Coût unitaire des formations par élève;€;;4200;4750;4750;5130;5150;5150
AA-P105-1-1;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-1;Renforcer la sécurité internationale et la sécurité des Français;;P105-1-1;Accroître la sécurité de la France au travers de celle de nos partenaires;;Citoyen;30234.0;Taux de réalisation des objectifs de coopération de sécurité et de défense;%;;91;94;94;95;95;95
AA-P105-1-1;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-1;Renforcer la sécurité internationale et la sécurité des Français;;P105-1-1;Accroître la sécurité de la France au travers de celle de nos partenaires;;Citoyen;30454.0;Part de femmes participant aux formations;%;BE;7;8;7,8;8;8,1;8,1
AA-P105-1-2;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-1;Renforcer la sécurité internationale et la sécurité des Français;;P105-1-2;Veiller à la sécurité des Français à l'étranger;;Citoyen;13749.0;"Nombre de consultations du site ""Conseils aux voyageurs""";Nb;;39185000;26500000;25000000;25000000;25000000;25000000
AA-P105-1-2;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-1;Renforcer la sécurité internationale et la sécurité des Français;;P105-1-2;Veiller à la sécurité des Français à l'étranger;;Citoyen;30161.0;Ratio personnes localisées / personnes signalées;%;;100;97;95;95;95;95
AA-P105-1-2;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-1;Renforcer la sécurité internationale et la sécurité des Français;;P105-1-2;Veiller à la sécurité des Français à l'étranger;;Citoyen;30162.0;Temps moyen d’attente d’un appelant;minutes;;27;146;60;2,5;2,5;2,5
AA-P105-1-3;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-1;Renforcer la sécurité internationale et la sécurité des Français;;P105-1-3;Lutte contre la désinformation et communication stratégique;;Citoyen;31543.0;Nombre de prises de paroles de diplomates à l’appui de la communication stratégique;Nb;;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet
AA-P105-1-3;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-1;Renforcer la sécurité internationale et la sécurité des Français;;P105-1-3;Lutte contre la désinformation et communication stratégique;;Citoyen;31541.0;Accroissement du nombre d’abonnés sur les réseaux sociaux du MEAE;%;;Sans objet;Sans objet;Sans objet;11,4;11,4;11,4
AA-P105-1-3;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-1;Renforcer la sécurité internationale et la sécurité des Français;;P105-1-3;Lutte contre la désinformation et communication stratégique;;Citoyen;31542.0;Nombre d’alertes par incident;Nb;;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet
AA-P105-2-1;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-2;Promouvoir le multilatéralisme et agir pour une Europe souveraine, unie, démocratique;(Objectif Mission);P105-2-1;Optimiser l'effort français en faveur du maintien de la paix;(Indicateur Mission);Citoyen;21046.0;Évolution des mandats des opérations de maintien de la paix (OMP);%;;67;50;8;0;0;0
AA-P105-2-1;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-2;Promouvoir le multilatéralisme et agir pour une Europe souveraine, unie, démocratique;(Objectif Mission);P105-2-1;Optimiser l'effort français en faveur du maintien de la paix;(Indicateur Mission);Citoyen;25927.0;Effectifs totaux des fonctionnaires internationaux français et comparaison avec autres effectifs;%;;5,1;5;5,2;5,2;5,2;5,2
AA-P105-2-2;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-2;Promouvoir le multilatéralisme et agir pour une Europe souveraine, unie, démocratique;(Objectif Mission);P105-2-2;Dossiers préparés dans le cadre des échéances européennes et des échanges bilatéraux;;Citoyen;30027.0;Dossiers préparés dans le cadre des échanges bilatéraux;Nb;;900;1000;1000;1000;1000;1000
AA-P105-2-2;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-2;Promouvoir le multilatéralisme et agir pour une Europe souveraine, unie, démocratique;(Objectif Mission);P105-2-2;Dossiers préparés dans le cadre des échéances européennes et des échanges bilatéraux;;Citoyen;30026.0;Dossiers préparés dans le cadre des échéances européennes;Nb;;300;150;150;150;150;150
AA-P105-2-2;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-2;Promouvoir le multilatéralisme et agir pour une Europe souveraine, unie, démocratique;(Objectif Mission);P105-2-2;Dossiers préparés dans le cadre des échéances européennes et des échanges bilatéraux;;Citoyen;30455.0;Dossiers préparés dans le cadre des échanges transfrontaliers;Nb;;20;20;20;20;20;20
AA-P105-2-3;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-2;Promouvoir le multilatéralisme et agir pour une Europe souveraine, unie, démocratique;(Objectif Mission);P105-2-3;Promouvoir les objectifs environnementaux à l'international;;Contribuable;30235.0;Part/volume des contributions internationales concourant à des objectifs environnementaux;%;BV;3,44;3,54;3,33;3,30;2,65;2,65
AA-P105-2-4;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-2;Promouvoir le multilatéralisme et agir pour une Europe souveraine, unie, démocratique;(Objectif Mission);P105-2-4;Position de la France dans le classement mondial des contributeurs financiers des organisations internationales;;Contribuable;31544.0;Rang de la France dans le classement des organisations internationales du système des Nations Unies;Nb;;8;Sans objet;Sans objet;8;8;8
AA-P105-2-4;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-2;Promouvoir le multilatéralisme et agir pour une Europe souveraine, unie, démocratique;(Objectif Mission);P105-2-4;Position de la France dans le classement mondial des contributeurs financiers des organisations internationales;;Contribuable;31545.0;Montant des contributions volontaires versées par le MEAE aux organisations internationales;Nb;;Sans objet;Sans objet;Sans objet;69;69;69
AA-P105-3-1;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-3;Assurer un service diplomatique efficient et de qualité;;P105-3-1;Efficience de la gestion immobilière;;Contribuable;17894.0;2. Ratio Entretien courant / SUB;€/m²;;11,20;12,08;11,08;10,65;10,65;10,65
AA-P105-3-1;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-3;Assurer un service diplomatique efficient et de qualité;;P105-3-1;Efficience de la gestion immobilière;;Contribuable;17893.0;1. Ratio SUN / Poste de Travail;m²/poste de travail;;14,7;14,9;14,9;14,8;14,8;14,8
AA-P105-3-1;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-3;Assurer un service diplomatique efficient et de qualité;;P105-3-1;Efficience de la gestion immobilière;;Contribuable;17896.0;3. Ratio Entretien lourd / SUB;€/m²;;21,61;27,74;43,55;35,46;35,46;35,46
AA-P105-3-2;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-3;Assurer un service diplomatique efficient et de qualité;;P105-3-2;Respect des coûts et délais des grands projets d'investissement;;Contribuable;24308.0;Projets immobiliers : Taux d'écart calendaire agrégé;%;;10;22;0;0;0;
AA-P105-3-2;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-3;Assurer un service diplomatique efficient et de qualité;;P105-3-2;Respect des coûts et délais des grands projets d'investissement;;Contribuable;24305.0;Projets SIC : Taux d'écart budgétaire agrégé;%;;29,0;228;NA;NA;NA;NA
AA-P105-3-2;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-3;Assurer un service diplomatique efficient et de qualité;;P105-3-2;Respect des coûts et délais des grands projets d'investissement;;Contribuable;24306.0;Projets SIC : Taux d'écart calendaire agrégé;%;;60,9;118;NA;NA;NA;NA
AA-P105-3-2;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-3;Assurer un service diplomatique efficient et de qualité;;P105-3-2;Respect des coûts et délais des grands projets d'investissement;;Contribuable;24307.0;Projets immobiliers : Taux d'écart budgétaire agrégé;%;;3,5;2;1,3;1,3;1,3;
AA-P105-3-3;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-3;Assurer un service diplomatique efficient et de qualité;;P105-3-3;Efficience de la fonction achat;;Contribuable;21048.0;Gains relatifs aux actions d'achat;M€;;0,7;1,14;1;1;1;1
AA-P105-3-4;Programme;BG;AA;Action extérieure de l'État;P105;Action de la France en Europe et dans le monde;P105-3;Assurer un service diplomatique efficient et de qualité;;P105-3-4;Poursuivre les efforts en faveur de l'égalité femme/homme;;Citoyen;31546.0;Score obtenu à l'index égalité professionnelle;Nb;BE;Sans objet;85;Sans objet;86;86;86
AA-P151-1-1;Programme;BG;AA;Action extérieure de l'État;P151;Français à l'étranger et affaires consulaires;P151-1;Renforcer la qualité et l'efficience du service consulaire;(Objectif Mission);P151-1-1;Nombre de documents délivrés par ETPT;;Contribuable;13299.0;4. Visas (réseau);Nb;;240;307;440;350;350;350
AA-P151-1-1;Programme;BG;AA;Action extérieure de l'État;P151;Français à l'étranger et affaires consulaires;P151-1;Renforcer la qualité et l'efficience du service consulaire;(Objectif Mission);P151-1-1;Nombre de documents délivrés par ETPT;;Contribuable;13295.0;1. Administration des Français (réseau);Nb;;141;138;140;140;140;140
AA-P151-1-1;Programme;BG;AA;Action extérieure de l'État;P151;Français à l'étranger et affaires consulaires;P151-1;Renforcer la qualité et l'efficience du service consulaire;(Objectif Mission);P151-1-1;Nombre de documents délivrés par ETPT;;Contribuable;13298.0;3. Actes d'état civil : exploitation (SCEC);Nb;;1504;1562;1600;1600;1650;1650
AA-P151-1-1;Programme;BG;AA;Action extérieure de l'État;P151;Français à l'étranger et affaires consulaires;P151-1;Renforcer la qualité et l'efficience du service consulaire;(Objectif Mission);P151-1-1;Nombre de documents délivrés par ETPT;;Contribuable;13297.0;2. Actes d'état civil : établissement et transcription (SCEC);Nb;;57;49;70;70;65;65
AA-P151-1-2;Programme;BG;AA;Action extérieure de l'État;P151;Français à l'étranger et affaires consulaires;P151-1;Renforcer la qualité et l'efficience du service consulaire;(Objectif Mission);P151-1-2;Délais de traitement des documents administratifs et des demandes de titres,  de la prise de rendez-vous jusqu’à la délivrance au demandeur;(Indicateur Mission);Usager;13389.0;3. État Civil - exploitation des actes (SCEC) Demandes dématérialisées;jours;;9;11,5;7;5;4;4
AA-P151-1-2;Programme;BG;AA;Action extérieure de l'État;P151;Français à l'étranger et affaires consulaires;P151-1;Renforcer la qualité et l'efficience du service consulaire;(Objectif Mission);P151-1-2;Délais de traitement des documents administratifs et des demandes de titres,  de la prise de rendez-vous jusqu’à la délivrance au demandeur;(Indicateur Mission);Usager;13390.0;4. Visas court séjour;jours;;13;8;9;9;9;9
AA-P151-1-2;Programme;BG;AA;Action extérieure de l'État;P151;Français à l'étranger et affaires consulaires;P151-1;Renforcer la qualité et l'efficience du service consulaire;(Objectif Mission);P151-1-2;Délais de traitement des documents administratifs et des demandes de titres,  de la prise de rendez-vous jusqu’à la délivrance au demandeur;(Indicateur Mission);Usager;3212.0;2. Cartes nationales d'identité (réseau);jours;;17;16;18;18;18;18
AA-P151-1-2;Programme;BG;AA;Action extérieure de l'État;P151;Français à l'étranger et affaires consulaires;P151-1;Renforcer la qualité et l'efficience du service consulaire;(Objectif Mission);P151-1-2;Délais de traitement des documents administratifs et des demandes de titres,  de la prise de rendez-vous jusqu’à la délivrance au demandeur;(Indicateur Mission);Usager;3211.0;1. Passeports (réseau);jours;;20;20;18;18;18;18
AA-P151-1-3;Programme;BG;AA;Action extérieure de l'État;P151;Français à l'étranger et affaires consulaires;P151-1;Renforcer la qualité et l'efficience du service consulaire;(Objectif Mission);P151-1-3;Délai de transcription des actes d'état civil en consulat;;Contribuable;31507.0;Délai de transcription des actes d'état civil en consulat;jours;;;;;79;79;75
AA-P151-2-1;Programme;BG;AA;Action extérieure de l'État;P151;Français à l'étranger et affaires consulaires;P151-2;Simplifier les démarches administratives;;P151-2-1;Dématérialisation des services consulaires;;Usager;30028.0;Taux de dématérialisation des demandes d'actes d’état-civil;%;;96;83;95;95;96;96
AA-P151-2-1;Programme;BG;AA;Action extérieure de l'État;P151;Français à l'étranger et affaires consulaires;P151-2;Simplifier les démarches administratives;;P151-2-1;Dématérialisation des services consulaires;;Usager;30029.0;Taux de dématérialisation des demandes d’inscription au Registre des Français à l’étranger;%;;44;35;35;35;35;35
AA-P185-1-1;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-1;Renforcer l'influence culturelle, linguistique et éducative de la France;;P185-1-1;Présence de la culture et des idées françaises à l'étranger;;Citoyen;30385.0;Part des projets culturels organisés en ligne ou en format hybride (mêlant virtuel et présentiel);%;;26;14;20;15;15;15
AA-P185-1-1;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-1;Renforcer l'influence culturelle, linguistique et éducative de la France;;P185-1-1;Présence de la culture et des idées françaises à l'étranger;;Citoyen;25908.0;Dont part de projets culturels incluant une action spécifique de soutien et d’accompagnement des professionnels culturels et créatifs et des filières ICC;%;;;;;35;35;35
AA-P185-1-1;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-1;Renforcer l'influence culturelle, linguistique et éducative de la France;;P185-1-1;Présence de la culture et des idées françaises à l'étranger;;Citoyen;30386.0;Part du volume des crédits consacrés aux projets culturels incluant une action spécifique en direction des professionnels des secteurs culturels;%;;30;29;35;35;35;35
AA-P185-1-2;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-1;Renforcer l'influence culturelle, linguistique et éducative de la France;;P185-1-2;Diffusion de la langue française;;Citoyen;30030.0;Nombre d'heures/élèves de cours de langue des établissements du réseau culturel et de coopération et du réseau des Alliances françaises;Nombre/usager;;31393923;30405988;33955700;30700000;30800000;30900000
AA-P185-1-2;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-1;Renforcer l'influence culturelle, linguistique et éducative de la France;;P185-1-2;Diffusion de la langue française;;Citoyen;25916.0;Nombre d'inscriptions aux cours de langue des établissements du réseau culturel et de coopération et du réseau des Alliances françaises;Nb;;883449;912273;920000;920000;965000;1102479
AA-P185-1-2;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-1;Renforcer l'influence culturelle, linguistique et éducative de la France;;P185-1-2;Diffusion de la langue française;;Citoyen;25917.0;Nombre de candidats aux certifications en langue française;Nb;;645236;694417;770000;740000;760000;800000
AA-P185-1-3;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-1;Renforcer l'influence culturelle, linguistique et éducative de la France;;P185-1-3;Établissements homologués du réseau de l’enseignement français à l’étranger;;Usager;30305.0;Taux de croissance du nombre d'élèves dans le réseau de l’enseignement français à l’étranger (EFE);%;;+2,8;+3,6;+5,9;+6,7;+7,2;+7,4
AA-P185-1-3;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-1;Renforcer l'influence culturelle, linguistique et éducative de la France;;P185-1-3;Établissements homologués du réseau de l’enseignement français à l’étranger;;Usager;30031.0;Taux de croissance du nombre d'élèves étrangers inscrits dans les établissements du réseau AEFE;%;;+3,8;+1,2;+8,4;+9,2;+9,8;+9,9
AA-P185-1-3;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-1;Renforcer l'influence culturelle, linguistique et éducative de la France;;P185-1-3;Établissements homologués du réseau de l’enseignement français à l’étranger;;Usager;30306.0;Taux de professeurs ayant bénéficié du plan de formation de l’enseignement français à l’étranger (EFE);%;;28,6;32;34;38;40;42
AA-P185-1-4;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-1;Renforcer l'influence culturelle, linguistique et éducative de la France;;P185-1-4;Établissements scolaires labellisés LabelFrancEducation;;Usager;31504.0;Nombres d’établissements scolaires labellisés LabelFrancEducation;Nb;;;;;800;880;960
AA-P185-1-4;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-1;Renforcer l'influence culturelle, linguistique et éducative de la France;;P185-1-4;Établissements scolaires labellisés LabelFrancEducation;;Usager;30032.0;Nombre d'élèves inscrits dans une section ou un établissement scolaire labellisé LabelFrancEducation;Nb;;185000;200000;235000;250000;265000;280000
AA-P185-1-5;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-1;Renforcer l'influence culturelle, linguistique et éducative de la France;;P185-1-5;Nombre de professeurs formés par le réseau dans les systèmes éducatifs locaux;;Usager;30033.0;Nombre de professeurs formés par le réseau dans les systèmes éducatifs locaux;Nb;;53147;44409;56000;57000;57000;57000
AA-P185-2-1;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-2;Développer l'attractivité de la France;;P185-2-1;Attractivité de l'enseignement supérieur et de la recherche;;Citoyen;25914.0;Nombre de mobilités (entrantes et sortantes) dans les projets des partenariats Hubert Curien;Nb;;2614;2455;3730;3200;3300;3400
AA-P185-2-1;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-2;Développer l'attractivité de la France;;P185-2-1;Attractivité de l'enseignement supérieur et de la recherche;;Citoyen;30456.0;Part des femmes parmi les étudiants étrangers en mobilité internationale dans les universités;%;BE;53, 7;54,5;54;54;53;53
AA-P185-2-1;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-2;Développer l'attractivité de la France;;P185-2-1;Attractivité de l'enseignement supérieur et de la recherche;;Citoyen;25913.0;Nombre d'étudiants étrangers en mobilité inscrits dans un établissement d’enseignement supérieur en France;Nb;;202397;203943;220000;230000;240000;245000
AA-P185-2-1;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-2;Développer l'attractivité de la France;;P185-2-1;Attractivité de l'enseignement supérieur et de la recherche;;Citoyen;30308.0;Taux de réussite des Boursiers du Gouvernement Français;%;;94, 7;95;97;98;99;100
AA-P185-2-1;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-2;Développer l'attractivité de la France;;P185-2-1;Attractivité de l'enseignement supérieur et de la recherche;;Citoyen;15716.0;Taux de bacheliers étrangers issus de l'enseignement français à l'étranger poursuivant leurs études en France;%;;49;53;51;51,5;52;52,5
AA-P185-2-2;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-2;Développer l'attractivité de la France;;P185-2-2;Bourses du gouvernement français;;Contribuable;30457.0;Part des bourses du gouvernement français attribuées à des femmes;%;BE;50, 6;53;50;50;50;50
AA-P185-2-2;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-2;Développer l'attractivité de la France;;P185-2-2;Bourses du gouvernement français;;Contribuable;31566.0;Nombre de bourses de couverture sociale accordées à des Boursiers du Gouvernement Français;Nb;;;;;4000;4500;5000
AA-P185-2-2;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-2;Développer l'attractivité de la France;;P185-2-2;Bourses du gouvernement français;;Contribuable;31565.0;Nombre de bourses avec allocation versées à des boursiers du Gouvernement français;Nb;;;;;10700;12300;13900
AA-P185-2-3;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-2;Développer l'attractivité de la France;;P185-2-3;Attractivité de la France en termes d'investissements;;Citoyen;31192.0;Nombre de visites d'investisseurs auxquelles les Ambassades et Business France ont contribué / nombre d'investisseurs rencontrés;ratio;;27,8;;30;33;33;33
AA-P185-3-1;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-3;Accroître la performance du dispositif d'aide à l'export;;P185-3-1;Accompagnement des acteurs économiques;;Citoyen;25911.0;Nombre de changements favorables aux intérêts français obtenus suite à une démarche de l'Ambassade;Nb;;391;501;700;700;700;700
AA-P185-3-1;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-3;Accroître la performance du dispositif d'aide à l'export;;P185-3-1;Accompagnement des acteurs économiques;;Citoyen;25910.0;Nombre de résultats obtenus (nombre de contrats signés toutes catégories confondues + nombre de changements favorables) / nombre d’entreprises reçues par les postes;%;;13,83;11,1;13;14;15;16
AA-P185-4-1;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-4;Dynamiser les ressources externes;;P185-4-1;Autofinancement et partenariats;;Contribuable;5178.0;Taux d'autofinancement des établissements à autonomie financière pluridisciplinaires hors personnel MEAE;%;;72;76;74;75;75;75
AA-P185-4-1;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-4;Dynamiser les ressources externes;;P185-4-1;Autofinancement et partenariats;;Contribuable;13151.0;Montant des participations externes mobilisés par le réseau culturel et de coopération;M€;;146,2;141,8;149;140;142;145
AA-P185-4-1;Programme;BG;AA;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;P185-4;Dynamiser les ressources externes;;P185-4-1;Autofinancement et partenariats;;Contribuable;3226.0;Taux des ressources propres des établissements d'enseignement français à l'étranger;%;;66, 5;64,3;63,6;65,34;65,63;65,63
AB-MAB-1-1;Mission;BG;AB;Administration générale et territoriale de l'État;;;MAB-1;Assurer le pilotage stratégique et opérationnel des crises et des politiques de sécurité;(Objectif du P354);MAB-1-1;Nombre d'exercices territoriaux de gestion de crise réalisés avec activation du COD;(Indicateur du P354);Citoyen;30962.0;Nombre d'exercices territoriaux de gestion de crise réalisés avec activation du COD;Nb;;4;4,3;4;4;4;4
AB-MAB-1-2;Mission;BG;AB;Administration générale et territoriale de l'État;;;MAB-1;Assurer le pilotage stratégique et opérationnel des crises et des politiques de sécurité;(Objectif du P354);MAB-1-2;Taux d'exercices PPI réalisés dans les délais réglementaires;(Indicateur du P354);Citoyen;7838.0;Taux d'exercices PPI réalisés dans les délais réglementaires;%;;65;68;85;85;85;85
AB-MAB-1-3;Mission;BG;AB;Administration générale et territoriale de l'État;;;MAB-1;Assurer le pilotage stratégique et opérationnel des crises et des politiques de sécurité;(Objectif du P354);MAB-1-3;Taux de contrôle des armureries;(Indicateur du P354);Citoyen;30963.0;Taux de contrôle des armureries;%;;100;63;100;100;100;100
AB-MAB-2-1;Mission;BG;AB;Administration générale et territoriale de l'État;;;MAB-2;Réaffirmer les préfectures en tant que garantes des libertés publiques et du respect de la loi;(Objectif du P354);MAB-2-1;Délais moyens d'instruction des titres;(Indicateur du P354);Usager;23181.0;Délais d'instruction en CERT des permis de conduire;jours;;14,3;19;15;15;15;15
AB-MAB-2-1;Mission;BG;AB;Administration générale et territoriale de l'État;;;MAB-2;Réaffirmer les préfectures en tant que garantes des libertés publiques et du respect de la loi;(Objectif du P354);MAB-2-1;Délais moyens d'instruction des titres;(Indicateur du P354);Usager;24976.0;Délais d'instruction en CERT des cartes nationales d'identité;jours;;21;7;15;15;15;15
AB-MAB-2-1;Mission;BG;AB;Administration générale et territoriale de l'État;;;MAB-2;Réaffirmer les préfectures en tant que garantes des libertés publiques et du respect de la loi;(Objectif du P354);MAB-2-1;Délais moyens d'instruction des titres;(Indicateur du P354);Usager;20671.0;Délai d'instruction en CERT des passeports biométriques;jours;;18;8,5;15;15;15;15
AB-MAB-2-2;Mission;BG;AB;Administration générale et territoriale de l'État;;;MAB-2;Réaffirmer les préfectures en tant que garantes des libertés publiques et du respect de la loi;(Objectif du P354);MAB-2-2;Taux d'actes transmis via le système d'information @CTES;(Indicateur du P354);Citoyen;8159.0;Taux d'actes transmis via le système d'information @CTES;%;;79;85,23;79;85;90;90
AB-MAB-2-3;Mission;BG;AB;Administration générale et territoriale de l'État;;;MAB-2;Réaffirmer les préfectures en tant que garantes des libertés publiques et du respect de la loi;(Objectif du P354);MAB-2-3;Taux de contrôle des actes des collectivités locales et établissements publics;(Indicateur du P354);Citoyen;30875.0;Taux de contrôle des actes budgétaires des collectivités locales et établissements publics;%;;61;59,8;61;61;61;61
AB-MAB-2-3;Mission;BG;AB;Administration générale et territoriale de l'État;;;MAB-2;Réaffirmer les préfectures en tant que garantes des libertés publiques et du respect de la loi;(Objectif du P354);MAB-2-3;Taux de contrôle des actes des collectivités locales et établissements publics;(Indicateur du P354);Citoyen;30872.0;Taux de contrôle des actes prioritaires reçus en préfecture;%;;90;84,53;90;90;90;90
